"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;28148
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);8
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);30792
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);3526
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);3090
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);51
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);17306
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";84204
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";5337
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;2182
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);nezistené;4602
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);323
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;2114
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;13711
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);16
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);3356
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;50833
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;4245
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);258
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;8641
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;17749
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;3303
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);4125
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);985
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);1235
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);24
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);649
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";17198
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";1447
SK0;SK02;Slovenská republika;Západné Slovensko;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;194
SK0;SK02;Slovenská republika;Západné Slovensko;žena;predproduktívny vek (0-14 rokov);nezistené;1209
SK0;SK02;Slovenská republika;Západné Slovensko;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;35803
SK0;SK02;Slovenská republika;Západné Slovensko;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;105
SK0;SK02;Slovenská republika;Západné Slovensko;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;88641
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);nezistené;24055
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);756
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;11315
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;61682
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);577
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);9494
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;92780
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;14134
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);242
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;34691
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;115558
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;43170
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);7
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);27517
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);7969
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);6137
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);41
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);28316
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";118232
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";5755
SK0;SK02;Slovenská republika;Západné Slovensko;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;1770
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);nezistené;5764
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);690
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;6500
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;55997
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);2
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);8045
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;37493
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;6062
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);274
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;6483
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;31884
SK0;SK02;Slovenská republika;Západné Slovensko;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;13659
